t_binance_ms,t_received_ns,t_sent_ns
1777485633173,1777485632799687720,1777485632799838048
1777485633173,1777485632799873414,1777485632799985717
1777485633173,1777485632800035662,1777485632800121170
1777485633173,1777485632800168258,1777485632800271695
1777485633173,1777485632800303317,1777485632800343116
1777485633173,1777485632800374147,1777485632800412960
1777485633173,1777485632800443105,1777485632800481229
1777485633173,1777485632800511964,1777485632800564766
1777485633173,1777485632800608998,1777485632800686132
1777485633173,1777485632800756863,1777485632800825033
1777485633173,1777485632800856261,1777485632800922067
1777485633173,1777485632800979400,1777485632801038014
1777485633173,1777485632801082049,1777485632801132881
1777485633173,1777485632801203119,1777485632801284391
1777485633173,1777485632801314536,1777485632801366254
1777485633173,1777485632801424080,1777485632801474912
1777485633173,1777485632801518553,1777485632801556578
1777485633173,1777485632801587018,1777485632801625240
1777485633173,1777485632801655877,1777485632801693903
1777485633173,1777485632801724638,1777485632801762467
1777485633173,1777485632801805220,1777485632801872701
1777485633173,1777485632801931413,1777485632802008745
1777485633173,1777485632802058887,1777485632802095139
1777485633173,1777485632802124594,1777485632802187641
1777485633173,1777485632802217293,1777485632802253841
1777485633173,1777485632802309303,1777485632802345456
1777485633173,1777485632802375010,1777485632802495391
1777485633173,1777485632802538736,1777485632802588681
1777485633173,1777485632802618234,1777485632802682168
1777485633173,1777485632802711820,1777485632802748072
1777485633173,1777485632802804224,1777485632802841067
1777485633173,1777485632802870620,1777485632802906577
1777485633173,1777485632802936130,1777485632802999079
1777485633173,1777485632803028632,1777485632803065082
1777485633173,1777485632803094832,1777485632803157978
1777485633173,1777485632803187334,1777485632803236787
1777485633175,1777485632803279344,1777485632803316187
1777485633175,1777485632803382288,1777485632803419624
1777485633175,1777485632803449374,1777485632803536458
1777485633175,1777485632803566898,1777485632803603840
1777485633175,1777485632803634181,1777485632803671813
1777485633175,1777485632803719000,1777485632803770225
1777485633180,1777485632806972532,1777485632807135076
1777485633180,1777485632807165319,1777485632807223342
1777485633180,1777485632807254866,1777485632807307963
1777485633180,1777485632807394161,1777485632807473068
1777485633180,1777485632807515822,1777485632807567737
1777485633180,1777485632807611279,1777485632807676691
1777485633180,1777485632807719839,1777485632807780325
1777485633180,1777485632807811159,1777485632807849677
1777485633180,1777485632807881397,1777485632808006408
1777485633180,1777485632808055959,1777485632808124326
1777485633182,1777485632808169937,1777485632808229733
1777485633182,1777485632808260961,1777485632808359374
