t_binance_ms,t_received_ns,t_sent_ns
1777485030116,1777485029828130292,1777485029828273256
1777485030116,1777485029829682097,1777485029829821612
1777485030116,1777485029830397800,1777485029830537709
1777485030116,1777485029831153504,1777485029831249864
1777485030116,1777485029831926944,1777485029832118776
1777485030116,1777485029832684816,1777485029832788959
1777485030116,1777485029833849113,1777485029834025181
1777485030116,1777485029834752510,1777485029834884930
1777485030116,1777485029835116962,1777485029835189183
1777485030116,1777485029835996614,1777485029836164603
1777485030116,1777485029837032333,1777485029837164852
1777485030116,1777485029838020463,1777485029838189241
1777485030116,1777485029838537830,1777485029838628869
1777485030116,1777485029839261612,1777485029839572663
1777485030116,1777485029840095251,1777485029840222450
1777485030116,1777485029840419111,1777485029840517539
1777485030116,1777485029841396501,1777485029841594049
1777485030116,1777485029842637453,1777485029842850764
1777485030138,1777485029844104722,1777485029844794019
1777485030239,1777485029878974422,1777485029879133346
1777485030350,1777485029988058140,1777485029988229775
1777485030516,1777485030151800114,1777485030152081274
1777485030868,1777485030641383272,1777485030641596858
1777485030880,1777485030652681144,1777485030652816284
1777485030892,1777485030664709537,1777485030664909736
1777485030965,1777485030737333341,1777485030737486887
1777485031156,1777485030924669743,1777485030924915809
1777485031266,1777485031033694788,1777485031033831584
1777485031269,1777485031038464246,1777485031038606896
1777485031269,1777485031039024471,1777485031039160753
1777485031269,1777485031039628240,1777485031039709784
1777485031269,1777485031040124586,1777485031040213215
1777485031269,1777485031040643936,1777485031040734825
1777485031269,1777485031041747543,1777485031041921310
1777485031269,1777485031042570370,1777485031042727294
1777485031269,1777485031043229905,1777485031043346263
1777485031269,1777485031044036094,1777485031044120308
1777485031269,1777485031045020159,1777485031045178932
1777485031269,1777485031045645906,1777485031045769658
1777485031269,1777485031046240946,1777485031046392941
1777485031269,1777485031047021563,1777485031047200465
1777485031269,1777485031048367437,1777485031048535248
1777485031269,1777485031049398127,1777485031049565527
1777485031269,1777485031049886052,1777485031049948390
1777485031269,1777485031050710933,1777485031050906986
1777485031269,1777485031051304535,1777485031051404050
1777485031269,1777485031052344468,1777485031052525527
1777485031269,1777485031053661586,1777485031053830629
1777485031269,1777485031055037757,1777485031055177223
1777485031269,1777485031056090733,1777485031056222085
1777485031269,1777485031056847832,1777485031056940775
1777485031369,1777485031139556201,1777485031139705115
1777485031435,1777485031207605785,1777485031207751412
1777485031915,1777485031700122363,1777485031700282779
1777485032243,1777485032037224117,1777485032037369058
1777485033082,1777485032894428012,1777485032894574486
1777485034094,1777485033924917887,1777485033925098591
1777485034180,1777485034012130718,1777485034012415307
